_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,ERREFORTZU/REFUERZO,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ERREFORTZUAK EGUNEAN/REFUERZOS AL DIA,ERREFORTZUAK GUZTIRA/TOTAL REFUERZOS,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
5,2025,2025-04-25 08:02:56,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),1,Lunes a Jueves,39,1,39,1,39,0,0
6,2025,2025-04-25 08:02:56,A2312,Zabalburu - UPV/EHU  (Juan de Garay),1,Laborable,49,3,147,2,98,1,49
7,2025,2025-04-25 08:02:56,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Lunes a Jueves,39,2,78,1,39,1,39
8,2025,2025-04-25 08:02:56,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Laborable,49,3,147,2,98,1,49
9,2025,2025-04-25 08:02:56,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,1,Laborable,49,1,49,1,49,0,0
10,2025,2025-04-25 08:02:56,A2318,Termibus - UPV/EHU (Autopista),1,Laborable,39,6,234,3,117,3,117
11,2025,2025-04-25 08:02:56,A2318,Termibus - UPV/EHU (Autopista),1,Viernes,10,1,10,0,0,1,10
12,2025,2025-04-25 08:02:56,A2321,Santutxu - UPV/EHU (Autopista),1,Lunes a Jueves,39,1,39,0,0,1,39
13,2025,2025-04-25 08:02:56,A2321,Santutxu - UPV/EHU (Autopista),1,Laborable,49,2,98,2,98,0,0
14,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),1,Lunes a Jueves,14,1,14,1,14,0,0
15,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),1,Laborable,18,2,36,2,36,0,0
16,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),3,Lunes a Jueves,25,2,50,2,50,0,0
17,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),3,Laborable,31,2,62,2,62,0,0
18,2025,2025-04-25 08:02:56,A2326,BARAKALDO - UPV/EHU,1,Laborable,49,2,98,1,49,1,49
19,2025,2025-04-25 08:02:56,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),1,Lunes a Jueves,48,2,96,0,0,2,96
