_id,EKITALDIA/EJERCICIO,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
50,2025,A2163,ERANDIO - UPV/EHU,EHU Eskola-egunak,Laborable,173,3,519,2,346,1,173
51,2025,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),EHU Eskola-egunak,Laborable,173,6,1038,4,692,2,346
52,2025,A2166,Uribe Kosta - UPV/EHU,EHU Eskola-egunak,Laborable,173,13,2249,6,1038,7,1211
53,2025,A2312,Zabalburu - UPV/EHU  (Juan de Garay),EHU Eskola-egunak,Laborable,198,20,3960,9,1782,11,2178
54,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Eskola-egunak,Laborable,198,46,9108,23,4554,23,4554
55,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Eskola-egunak,Sabado,37,11,407,6,222,5,185
56,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Murriztua,Laborable,10,22,220,11,110,11,110
57,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Ez Eskolakoa,Laborable,12,43,516,21,252,22,264
58,2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,EHU Abuztua (A2314),Laborable,11,14,154,8,88,6,66
59,2025,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Eskola-egunak,Laborable,173,24,4152,13,2249,11,1903
60,2025,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Murriztua,Laborable,32,22,704,11,352,11,352
61,2025,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,EHU Ez Eskolakoa,Laborable,14,6,84,3,42,3,42
62,2025,A2316,SESTAO - UPV/EHU,EHU Eskola-egunak,Laborable,173,10,1730,5,865,5,865
