_id,KODEA/CODIGO,UDALERRIA/MUNICIPIO,EKITALDIA/EJERCICIO,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
36,=916,USANSOLO,2025,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,Bakarra,Laborable,248,33,8184,17,4216,16,3968
37,=916,USANSOLO,2025,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,Bakarra,Sabado,50,33,1650,17,850,16,800
38,=916,USANSOLO,2025,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,Gabonak (24-31),Laborable,2,27,54,13,26,14,28
39,=916,USANSOLO,2025,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,Gabonak (25 -1),Festivo,2,11,22,6,12,5,10
40,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Negua,Festivo,57,28,1596,14,798,14,798
41,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Negua,Laborable,228,32,7296,15,3420,17,3876
42,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Negua,Sabado,45,30,1350,15,675,15,675
43,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Uda,Festivo,6,28,168,14,84,14,84
44,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Uda,Laborable,20,30,600,15,300,15,300
45,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Uda,Sabado,5,30,150,15,75,15,75
46,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Gabonak (24-31),Laborable,2,29,58,13,26,16,32
47,=916,USANSOLO,2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),Gabonak (25 -1),Festivo,2,9,18,5,10,4,8
48,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Negua,Festivo,57,31,1767,16,912,15,855
49,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Negua,Laborable,228,37,8436,17,3876,20,4560
50,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Negua,Sabado,45,35,1575,17,765,18,810
51,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Uda,Festivo,6,31,186,16,96,15,90
52,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Uda,Laborable,20,35,700,17,340,18,360
53,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Uda,Sabado,5,35,175,17,85,18,90
54,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Gabonak (24-31),Laborable,2,31,62,14,28,17,34
55,=916,USANSOLO,2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,Gabonak (25 -1),Festivo,2,10,20,5,10,5,10
56,=916,USANSOLO,2025,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,Bakarra,Festivo,63,28,1764,15,945,13,819
57,=916,USANSOLO,2025,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,Bakarra,Laborable,248,30,7440,15,3720,15,3720
58,=916,USANSOLO,2025,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,Bakarra,Sabado,50,30,1500,15,750,15,750
59,=916,USANSOLO,2025,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,Gabonak (24-31),Laborable,2,28,56,14,28,14,28
60,=916,USANSOLO,2025,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,Gabonak (25 -1),Festivo,2,10,20,5,10,5,10
61,=916,USANSOLO,2025,A3927,BILBAO - LEMOA - ZEANURI (Autopista),Negua,Laborable,228,30,6840,15,3420,15,3420
62,=916,USANSOLO,2025,A3927,BILBAO - LEMOA - ZEANURI (Autopista),Gabonak (24-31),Laborable,2,26,52,13,26,13,26
63,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Negua,Festivo,36,99,3564,48,1728,51,1836
64,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Negua,Lunes a Jueves,129,103,13287,52,6708,51,6579
65,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Negua,Sabado,32,118,3776,60,1920,58,1856
66,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Negua,Viernes,32,109,3488,55,1760,54,1728
67,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Uda,Festivo,19,99,1881,48,912,51,969
68,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Uda,Lunes a Jueves,65,103,6695,52,3380,51,3315
69,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Uda,Sabado,17,118,2006,60,1020,58,986
70,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Uda,Viernes,15,117,1755,59,885,58,870
71,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Gabonak (25 -1),Festivo,2,68,136,34,68,34,68
72,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Bezpera LI,Lunes a Jueves,1,109,109,55,55,54,54
73,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Bezpera LV,Laborable,6,117,702,59,354,58,348
74,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Bezpera FI,Festivo,2,105,210,51,102,54,108
75,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Bezpera FV,Festivo,2,113,226,55,110,58,116
76,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Aste Santua,Festivo,2,105,210,51,102,54,108
77,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Aste Santua,Sabado,1,114,114,56,56,58,58
78,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Bezpera SF,Festivo,2,114,228,56,112,58,116
79,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Gabonak 24,Lunes a Jueves,1,93,93,48,48,45,45
80,=916,USANSOLO,2025,A3932,GALDAKAO - Metro Bolueta,Gabonak 31,Lunes a Jueves,1,105,105,54,54,51,51
